$Gene	0h_RNA	0h_protein	2h_RNA	2h_protein	4h_RNA	4h_protein	6h_RNA	6h_protein	8h_RNA	8h_protein	10h_RNA	10h_protein	12h_RNA	12h_protein	14h_RNA	14h_protein	16h_RNA	16h_protein	18h_RNA	18h_protein	20h_RNA	20h_protein	22h_RNA	22h_protein
NCU02257.7	1.86602540378	0.133974596216	1.5	0.0	1.0	0.133974596216	0.5	0.5	0.133974596216	1.0	0.0	1.5	0.133974596216	1.86602540378	0.5	2.0	1.0	1.86602540378	1.5	1.5	1.86602540378	1.0	2.0	0.5
NCU05079.7	1.0	1.5	1.5	1.86602540378	1.86602540378	2.0	2.0	1.86602540378	1.86602540378	1.5	1.5	1.0	1.0	0.5	0.5	0.133974596216	0.133974596216	0.0	0.0	0.133974596216	0.133974596216	0.5	0.5	1.0
NCU01659.7	1.0	2.0	0.5	1.86602540378	0.133974596216	1.5	0.0	1.0	0.133974596216	0.5	0.5	0.133974596216	1.0	0.0	1.5	0.133974596216	1.86602540378	0.5	2.0	1.0	1.86602540378	1.5	1.5	1.86602540378
NCU05453.7	1.86602540378	0.5	1.5	1.0	1.0	1.5	0.5	1.86602540378	0.133974596216	2.0	0.0	1.86602540378	0.133974596216	1.5	0.5	1.0	1.0	0.5	1.5	0.133974596216	1.86602540378	0.0	2.0	0.133974596216
NCU02207.7	1.0	2.0	1.5	1.86602540378	1.86602540378	1.5	2.0	1.0	1.86602540378	0.5	1.5	0.133974596216	1.0	0.0	0.5	0.133974596216	0.133974596216	0.5	0.0	1.0	0.133974596216	1.5	0.5	1.86602540378
NCU05076.7	0.0	1.86602540378	0.133974596216	2.0	0.5	1.86602540378	1.0	1.5	1.5	1.0	1.86602540378	0.5	2.0	0.133974596216	1.86602540378	0.0	1.5	0.133974596216	1.0	0.5	0.5	1.0	0.133974596216	1.5
NCU00352.7	1.86602540378	1.86602540378	1.5	1.5	1.0	1.0	0.5	0.5	0.133974596216	0.133974596216	0.0	0.0	0.133974596216	0.133974596216	0.5	0.5	1.0	1.0	1.5	1.5	1.86602540378	1.86602540378	2.0	2.0
NCU03334.7	1.0	1.0	1.5	0.5	1.86602540378	0.133974596216	2.0	0.0	1.86602540378	0.133974596216	1.5	0.5	1.0	1.0	0.5	1.5	0.133974596216	1.86602540378	0.0	2.0	0.133974596216	1.86602540378	0.5	1.5
NCU03080.7	2.0	0.0	1.86602540378	0.133974596216	1.5	0.5	1.0	1.0	0.5	1.5	0.133974596216	1.86602540378	0.0	2.0	0.133974596216	1.86602540378	0.5	1.5	1.0	1.0	1.5	0.5	1.86602540378	0.133974596216
NCU06959.7	1.86602540378	1.5	2.0	1.86602540378	1.86602540378	2.0	1.5	1.86602540378	1.0	1.5	0.5	1.0	0.133974596216	0.5	0.0	0.133974596216	0.133974596216	0.0	0.5	0.133974596216	1.0	0.5	1.5	1.0
NCU04493.7	1.5	0.5	1.0	1.0	0.5	1.5	0.133974596216	1.86602540378	0.0	2.0	0.133974596216	1.86602540378	0.5	1.5	1.0	1.0	1.5	0.5	1.86602540378	0.133974596216	2.0	0.0	1.86602540378	0.133974596216
NCU04289.7	1.0	2.0	0.5	1.86602540378	0.133974596216	1.5	0.0	1.0	0.133974596216	0.5	0.5	0.133974596216	1.0	0.0	1.5	0.133974596216	1.86602540378	0.5	2.0	1.0	1.86602540378	1.5	1.5	1.86602540378
NCU05288.7	1.86602540378	2.0	1.5	1.86602540378	1.0	1.5	0.5	1.0	0.133974596216	0.5	0.0	0.133974596216	0.133974596216	0.0	0.5	0.133974596216	1.0	0.5	1.5	1.0	1.86602540378	1.5	2.0	1.86602540378
NCU02472.7	0.5	1.86602540378	1.0	1.5	1.5	1.0	1.86602540378	0.5	2.0	0.133974596216	1.86602540378	0.0	1.5	0.133974596216	1.0	0.5	0.5	1.0	0.133974596216	1.5	0.0	1.86602540378	0.133974596216	2.0
NCU01735.7	0.133974596216	1.0	0.5	0.5	1.0	0.133974596216	1.5	0.0	1.86602540378	0.133974596216	2.0	0.5	1.86602540378	1.0	1.5	1.5	1.0	1.86602540378	0.5	2.0	0.133974596216	1.86602540378	0.0	1.5
NCU05185.7	0.133974596216	2.0	0.5	1.86602540378	1.0	1.5	1.5	1.0	1.86602540378	0.5	2.0	0.133974596216	1.86602540378	0.0	1.5	0.133974596216	1.0	0.5	0.5	1.0	0.133974596216	1.5	0.0	1.86602540378
NCU08743.7	1.86602540378	1.86602540378	1.5	2.0	1.0	1.86602540378	0.5	1.5	0.133974596216	1.0	0.0	0.5	0.133974596216	0.133974596216	0.5	0.0	1.0	0.133974596216	1.5	0.5	1.86602540378	1.0	2.0	1.5
NCU08484.7	1.5	1.5	1.86602540378	1.86602540378	2.0	2.0	1.86602540378	1.86602540378	1.5	1.5	1.0	1.0	0.5	0.5	0.133974596216	0.133974596216	0.0	0.0	0.133974596216	0.133974596216	0.5	0.5	1.0	1.0
NCU03967.7	0.5	1.86602540378	0.133974596216	2.0	0.0	1.86602540378	0.133974596216	1.5	0.5	1.0	1.0	0.5	1.5	0.133974596216	1.86602540378	0.0	2.0	0.133974596216	1.86602540378	0.5	1.5	1.0	1.0	1.5
NCU00775.7	0.133974596216	1.86602540378	0.5	2.0	1.0	1.86602540378	1.5	1.5	1.86602540378	1.0	2.0	0.5	1.86602540378	0.133974596216	1.5	0.0	1.0	0.133974596216	0.5	0.5	0.133974596216	1.0	0.0	1.5
NCU01343.7	0.0	1.86602540378	0.133974596216	2.0	0.5	1.86602540378	1.0	1.5	1.5	1.0	1.86602540378	0.5	2.0	0.133974596216	1.86602540378	0.0	1.5	0.133974596216	1.0	0.5	0.5	1.0	0.133974596216	1.5
NCU02074.7	0.5	2.0	0.133974596216	1.86602540378	0.0	1.5	0.133974596216	1.0	0.5	0.5	1.0	0.133974596216	1.5	0.0	1.86602540378	0.133974596216	2.0	0.5	1.86602540378	1.0	1.5	1.5	1.0	1.86602540378
NCU00633.7	0.133974596216	1.0	0.0	0.5	0.133974596216	0.133974596216	0.5	0.0	1.0	0.133974596216	1.5	0.5	1.86602540378	1.0	2.0	1.5	1.86602540378	1.86602540378	1.5	2.0	1.0	1.86602540378	0.5	1.5
NCU09600.7	0.5	1.86602540378	0.133974596216	1.5	0.0	1.0	0.133974596216	0.5	0.5	0.133974596216	1.0	0.0	1.5	0.133974596216	1.86602540378	0.5	2.0	1.0	1.86602540378	1.5	1.5	1.86602540378	1.0	2.0
NCU04639.7	1.5	1.86602540378	1.0	2.0	0.5	1.86602540378	0.133974596216	1.5	0.0	1.0	0.133974596216	0.5	0.5	0.133974596216	1.0	0.0	1.5	0.133974596216	1.86602540378	0.5	2.0	1.0	1.86602540378	1.5
