	Phase	Circadian time Acrophase
NCU02117.7	4	16.266666666666666
NCU05683.7	4	16.266666666666666
NCU01195.7	10	22.666666666666664
NCU02193.7	8	20.53333333333333
NCU02806.7	8	20.53333333333333
NCU07349.7	2	14.133333333333333
NCU08282.7	20	9.333333333333329
NCU01748.7	20	9.333333333333329
NCU07169.7	6	18.4
NCU05400.7	22	11.466666666666669
NCU03135.7	10	22.666666666666664
NCU03334.7	18	7.199999999999999
NCU05733.7	6	18.4
NCU09278.7	22	11.466666666666669
NCU00924.7	18	7.199999999999999
NCU01485.7	2	14.133333333333333
NCU06986.7	4	16.266666666666666
NCU08823.7	0	12.0
NCU09466.7	2	14.133333333333333
NCU08272.7	12	0.8000000000000007
NCU00212.7	2	14.133333333333333
NCU04724.7	0	12.0
NCU05304.7	2	14.133333333333333
NCU03748.7	16	5.066666666666666
NCU02724.7	4	16.266666666666666
NCU03136.7	2	14.133333333333333
NCU06554.7	2	14.133333333333333
NCU00124.7	22	11.466666666666669
NCU00903.7	0	12.0
NCU02849.7	4	16.266666666666666
NCU08303.7	16	5.066666666666666
NCU01083.7	2	14.133333333333333
NCU05154.7	0	12.0
NCU05807.7	0	12.0
NCU06075.7	0	12.0
NCU03309.7	4	16.266666666666666
NCU04116.7	18	7.199999999999999
NCU09841.7	4	16.266666666666666
NCU00498.7	2	14.133333333333333
NCU01474.7	2	14.133333333333333
NCU01786.7	2	14.133333333333333
NCU02614.7	0	12.0
NCU04268.7	0	12.0
NCU05552.7	2	14.133333333333333
NCU01861.7	22	11.466666666666669
NCU10865.7	8	20.53333333333333
NCU11287.7	22	11.466666666666669
NCU00865.7	0	12.0
NCU01221.7	10	22.666666666666664
NCU04022.7	2	14.133333333333333
NCU08008.7	0	12.0
NCU08793.7	0	12.0
NCU06303.7	22	11.466666666666669
NCU08787.7	20	9.333333333333329
NCU08280.7	0	12.0
NCU10014.7	4	16.266666666666666
NCU10468.7	4	16.266666666666666
NCU02098.7	12	0.8000000000000007
NCU04181.7	2	14.133333333333333
NCU07404.7	22	11.466666666666669
NCU08882.7	2	14.133333333333333
NCU11050.7	18	7.199999999999999
NCU06468.7	12	0.8000000000000007
NCU06836.7	12	0.8000000000000007
NCU00413.7	16	5.066666666666666
NCU01187.7	4	16.266666666666666
NCU01271.7	10	22.666666666666664
NCU01831.7	18	7.199999999999999
NCU03717.7	10	22.666666666666664
NCU04202.7	0	12.0
NCU08964.7	16	5.066666666666666
NCU02018.7	20	9.333333333333329
NCU03329.7	4	16.266666666666666
NCU10687.7	6	18.4
NCU03875.7	12	0.8000000000000007
NCU06868.7	22	11.466666666666669
NCU00469.7	4	16.266666666666666
NCU01403.7	18	7.199999999999999
NCU03041.7	16	5.066666666666666
NCU03051.7	14	2.9333333333333336
NCU08861.7	16	5.066666666666666
NCU00792.7	10	22.666666666666664
NCU02181.7	12	0.8000000000000007
NCU07962.7	20	9.333333333333329
NCU04059.7	22	11.466666666666669
NCU05270.7	12	0.8000000000000007
NCU05410.7	12	0.8000000000000007
NCU04110.7	4	16.266666666666666
NCU06243.7	14	2.9333333333333336
NCU09810.7	18	7.199999999999999
NCU01332.7	6	18.4
NCU03080.7	12	0.8000000000000007
NCU03703.7	6	18.4
NCU04584.7	16	5.066666666666666
NCU04832.7	10	22.666666666666664
NCU06361.7	2	14.133333333333333
NCU07910.7	0	12.0
NCU07971.7	20	9.333333333333329
NCU10073.7	0	12.0
NCU10853.7	2	14.133333333333333
NCU01878.7	22	11.466666666666669
NCU01457.7	16	5.066666666666666
