ID	Phase
NCU11175	0
NCU08362	0
NCU04102	16
NCU06424	2
NCU06727	4
NCU00114	8
NCU01515	0
NCU04439	2
NCU03539	6
NCU00422	4
NCU09419	14
NCU09895	6
NCU05680	22
NCU10055	10
NCU08974	16
NCU00576	20
NCU01821	4
NCU02419	4
NCU00406	18
NCU07511	4
NCU06201	12
NCU01741	20
NCU04016	10
NCU08064	12
NCU11311	6
NCU00172	22
NCU04921	14
NCU07688	18
NCU03738	6
NCU09108	4
NCU07222	14
NCU04943	20
NCU00995	22
NCU03087	12
NCU03774	12
NCU08471	0
NCU09525	6
NCU03779	10
NCU03922	10
NCU05149	4
NCU15829	22
NCU09686	14
NCU07541	12
NCU01675	2
NCU05829	18
NCU10567	20
NCU01072	2
NCU06876	10
NCU07826	4
NCU10498	4
NCU00372	0
NCU08173	6
NCU03290	2
NCU05804	0
NCU07176	2
NCU10747	0
NCU07553	18
NCU04106	12
NCU05821	20
NCU07264	4
NCU03667	18
NCU02980	22
NCU03653	6
NCU01886	4
NCU03261	4
NCU06305	8
NCU07388	20
NCU02720	0
NCU08550	4
NCU07921	14
NCU08677	14
NCU06655	8
NCU01452	2
NCU03315	22
NCU10075	16
NCU00461	18
NCU01449	4
NCU03339	4
NCU07081	14
NCU09022	4
NCU09135	10
NCU03255	6
NCU03629	6
NCU09220	12
NCU05290	4
NCU02555	0
NCU08968	0
NCU03682	14
NCU05844	14
NCU07011	4
NCU07726	4
NCU09517	4
NCU09492	18
NCU02653	12
NCU01170	2
NCU04502	8
NCU06844	12
NCU11195	10
NCU03023	10
NCU07495	10
NCU00864	14
NCU02579	14
NCU07717	4
NCU08715	6
NCU03702	4
NCU00232	0
NCU03613	0
NCU07385	8
NCU02026	16
NCU09824	18
NCU02302	4
NCU08709	22
NCU01900	6
NCU02707	4
NCU02142	22
NCU09307	20
NCU03622	22
NCU03703	8
NCU04342	4
NCU05157	14
NCU05203	12
NCU01225	4
NCU03066	22
NCU08616	22
NCU11261	12
NCU06857	20
NCU02754	0
NCU06771	20
NCU01612	2
NCU02602	6
NCU06242	6
NCU01389	4
NCU08037	16
NCU06120	12
NCU06214	6
NCU06673	2
NCU07945	8
NCU07169	2
NCU03926	4
NCU06080	14
NCU06746	10
NCU07804	4
NCU09447	10
NCU04338	4
NCU00964	10
NCU04395	20
NCU01776	4
NCU01555	12
NCU05384	12
NCU08434	0
NCU02761	22
NCU06632	6
NCU00925	4
NCU05160	14
NCU09693	20
NCU06677	14
NCU04430	12
NCU03714	12
NCU00276	4
NCU00468	22
NCU00245	2
NCU04485	4
NCU06469	4
NCU11027	4
NCU01115	0
NCU02407	4
NCU05561	16
NCU10049	14
NCU01644	10
NCU05735	10
NCU08456	8
NCU03560	4
NCU02616	4
NCU01331	4
NCU03647	12
NCU06923	22
NCU01620	0
NCU03155	0
NCU05718	12
NCU06569	12
NCU04543	22
NCU02718	20
NCU00486	20
NCU02640	4
NCU05084	10
NCU09608	4
NCU03675	6
NCU07083	6
NCU09847	18
NCU03963	6
NCU00781	16
NCU05276	20
NCU10039	20
NCU03150	4
NCU04165	2
NCU07349	12
NCU02536	4
NCU02499	12
NCU01613	0
NCU05987	18
NCU01914	10
NCU10053	22
NCU04315	0
NCU05714	8
NCU06854	2
NCU00434	2
NCU06090	2
NCU04952	14
NCU00458	6
NCU05593	10
NCU00522	10
NCU00714	10
NCU01764	20
NCU03518	4
NCU04676	6
NCU06077	18
NCU07904	4
NCU08695	16
NCU09013	10
NCU06279	4
NCU00453	2
NCU07063	20
NCU16802	2
NCU03778	4
NCU09579	10
NCU01994	8
NCU02522	0
NCU03015	2
NCU04196	22
NCU05023	0
NCU07678	18
NCU04917	22
NCU04017	2
NCU04194	10
NCU02755	4
NCU07906	10
NCU00854	14
NCU07534	18
NCU01267	20
NCU04154	22
NCU08187	8
NCU04091	6
NCU06071	10
NCU00643	14
NCU06398	14
NCU08541	2
NCU00107	6
NCU04179	6
NCU02066	18
NCU02190	16
NCU08378	18
NCU02671	22
NCU03074	16
NCU05581	6
NCU02024	14
NCU02511	14
NCU03954	4
NCU07014	6
NCU08678	6
NCU02665	14
NCU05830	20
NCU07974	22
NCU00407	4
NCU01789	18
NCU01896	8
NCU02533	4
NCU03757	4
NCU04797	10
NCU08795	12
NCU10226	12
NCU03806	6
NCU07948	6
NCU01488	22
NCU01768	2
NCU01345	8
NCU01483	4
NCU04598	2
NCU02181	4
NCU07773	10
NCU00573	20
NCU00706	4
NCU04122	4
NCU04385	10
NCU09931	14
NCU04795	6
NCU04996	6
NCU06347	10
NCU09380	0
NCU01183	2
NCU02127	4
NCU08556	2
NCU00622	10
NCU03635	4
NCU02020	0
NCU03423	14
NCU04907	16
NCU06884	6
NCU09069	16
NCU07668	22
NCU09611	10
NCU00014	0
NCU00363	12
NCU01552	8
NCU08277	4
NCU02282	18
NCU03670	6
NCU07857	6
NCU08440	6
NCU09778	6
NCU04594	10
NCU08298	12
NCU04462	4
NCU04514	22
NCU06737	22
NCU10546	4
NCU09042	8
NCU09355	20
NCU06018	12
NCU16374	12
NCU03360	10
NCU05895	14
NCU06409	18
NCU11220	4
NCU01873	12
NCU07009	14
NCU02664	12
NCU02748	12
NCU03625	0
NCU02213	8
NCU07142	12
NCU05984	0
NCU08650	16
NCU10467	4
NCU07343	4
NCU00464	6
NCU02621	4
NCU04216	0
NCU08396	20
NCU05418	20
NCU01060	12
NCU03741	10
NCU09518	10
NCU09818	10
NCU17257	10
NCU09694	20
NCU01966	6
NCU05883	8
NCU06265	10
NCU08518	22
NCU08049	12
NCU04211	16
NCU04331	4
NCU08820	18
NCU00258	6
NCU09099	14
NCU02525	10
NCU05279	12
NCU02165	20
NCU00987	16
NCU07747	14
NCU08017	16
NCU03606	4
NCU08151	4
NCU08627	6
NCU08793	20
NCU04584	20
NCU05064	8
NCU07725	0
NCU08159	16
NCU10011	2
NCU16443	10
NCU10359	4
NCU05921	6
NCU00400	14
NCU03773	16
NCU09474	4
NCU09239	6
NCU08171	2
NCU03903	4
NCU08644	12
NCU05285	18
NCU10430	12
NCU11337	16
NCU00241	22
NCU03797	10
NCU06419	22
NCU06003	22
NCU09894	4
NCU01121	6
NCU09078	16
NCU02460	2
NCU02701	4
NCU05777	4
NCU09424	10
NCU00399	14
NCU07034	12
NCU17239	12
NCU00350	10
NCU04247	4
NCU04076	12
NCU04287	4
NCU08272	4
NCU04645	18
NCU00423	14
NCU17258	12
NCU06783	6
NCU05426	12
NCU05798	0
NCU06179	18
NCU03139	10
NCU04652	18
NCU09132	22
NCU00608	8
NCU03173	14
NCU06622	2
NCU08806	14
NCU17057	2
NCU07814	4
NCU00100	6
NCU09529	4
NCU07762	12
NCU00027	2
NCU01315	22
NCU02294	20
NCU03174	22
NCU03807	2
NCU07850	22
NCU12091	2
NCU04832	10
NCU08609	22
NCU03748	4
NCU02273	8
NCU06095	6
NCU07795	18
NCU08957	12
NCU03192	6
NCU02278	2
NCU08895	12
NCU04474	2
NCU09270	2
NCU02705	4
NCU04237	10
NCU07730	12
NCU03650	4
NCU07907	12
NCU07985	6
NCU04478	8
NCU06645	20
NCU06781	0
NCU07806	14
NCU05542	22
NCU02056	6
NCU09465	22
NCU00150	2
NCU00634	4
NCU01408	4
NCU03634	12
NCU05569	18
NCU08000	18
NCU10048	14
NCU06269	2
NCU02546	2
NCU08046	6
NCU02151	12
NCU07539	22
NCU05884	10
NCU01414	20
NCU03318	2
NCU07396	16
NCU04267	14
NCU06334	2
NCU08641	18
NCU09111	4
NCU08155	6
NCU05271	14
NCU00689	16
NCU01092	2
NCU03279	12
NCU06043	0
NCU07607	10
NCU05781	22
NCU06546	10
NCU03392	2
NCU09131	4
NCU09541	2
NCU07175	4
NCU07165	12
NCU00707	4
NCU01149	14
NCU06836	18
NCU16306	10
NCU17275	22
NCU06649	0
NCU09865	12
NCU00475	6
NCU00833	2
NCU07332	10
NCU08621	20
NCU02430	10
NCU08291	22
NCU02399	6
NCU03489	10
NCU06699	6
NCU09200	6
NCU06776	2
NCU07474	14
NCU04142	14
NCU04333	0
NCU05848	16
NCU00977	6
NCU00518	2
NCU02604	0
NCU03946	8
NCU07398	8
NCU01428	6
NCU06862	18
NCU00782	4
NCU02842	22
NCU05349	2
NCU11109	4
NCU10169	22
NCU01340	4
NCU04245	0
NCU04558	12
NCU09423	12
NCU00395	0
NCU02794	0
NCU03921	20
NCU04617	22
NCU09090	14
NCU00243	22
NCU06132	10
NCU15830	22
NCU01747	4
NCU07453	2
NCU10245	22
NCU07665	16
NCU01506	20
NCU02086	22
NCU04880	22
NCU06498	14
NCU04910	2
NCU11324	18
NCU11370	6
NCU07713	16
NCU01491	8
NCU03267	12
NCU07506	12
NCU08973	14
NCU09652	12
NCU10237	12
NCU09770	10
NCU03126	6
NCU03711	4
NCU02627	14
NCU05817	6
NCU04371	12
NCU05345	14
NCU02408	2
NCU04667	14
NCU06237	12
NCU08062	22
NCU11341	10
NCU16320	0
NCU00326	10
NCU00419	22
NCU00236	10
NCU00974	6
NCU06358	20
NCU00065	2
NCU05304	2
NCU00825	4
NCU03086	6
NCU05948	2
NCU06130	22
NCU07334	4
NCU04246	2
NCU08707	0
NCU00581	6
NCU03697	8
NCU07870	6
NCU04532	4
NCU10836	22
NCU01419	12
NCU06520	2
NCU04837	6
NCU05292	14
NCU02126	12
NCU07626	12
NCU03274	20
NCU00598	12
NCU04367	14
NCU04468	2
NCU07050	14
NCU07070	18
NCU05206	16
NCU00104	12
NCU00599	2
NCU02096	14
NCU17026	0
NCU10518	22
NCU09676	10
NCU00837	14
NCU00881	20
NCU01816	6
NCU04078	2
NCU04847	20
NCU01332	6
NCU16549	12
NCU00657	4
NCU01487	0
NCU03509	14
NCU07411	14
NCU06602	20
NCU06850	0
NCU07274	10
NCU07551	10
NCU02746	2
NCU03230	0
NCU08744	22
NCU04022	22
NCU07262	4
NCU01975	4
NCU02597	12
NCU04914	16
NCU08762	6
NCU05650	0
NCU02144	18
NCU02395	12
NCU08280	16
NCU16562	22
NCU02590	22
NCU08886	20
NCU03730	6
NCU02797	10
NCU05560	8
NCU01243	8
NCU02230	0
NCU09502	4
NCU03283	16
NCU03749	16
NCU02208	4
NCU03643	14
NCU02692	10
NCU05834	2
NCU05956	10
NCU05060	22
NCU06669	22
NCU01481	20
NCU02519	18
NCU01945	10
NCU09826	2
NCU06200	14
NCU12150	6
NCU06198	0
NCU05082	10
NCU07115	2
NCU08339	2
NCU01088	18
NCU03405	4
NCU06023	4
NCU06061	10
NCU11172	4
NCU01259	2
NCU02390	6
NCU06364	12
NCU07051	12
NCU07855	6
NCU07710	12
NCU01366	18
NCU03101	0
NCU09708	0
NCU02123	14
NCU02236	22
NCU00722	14
NCU06471	14
NCU09058	16
NCU09278	16
NCU00041	20
NCU09319	2
NCU03662	4
NCU00046	22
NCU00899	22
NCU05563	16
NCU06300	6
NCU12084	12
NCU16398	12
NCU03098	12
NCU00332	14
NCU07326	0
NCU09760	8
NCU00935	10
NCU06623	6
NCU04472	22
NCU00589	2
NCU01198	2
NCU03739	2
NCU07560	2
NCU03347	4
NCU06944	18
NCU01438	18
NCU10987	4
NCU01456	20
NCU01996	16
NCU02071	12
NCU07399	22
NCU02702	20
NCU09705	8
NCU03975	22
NCU01256	20
NCU10061	4
NCU10476	4
NCU16819	14
NCU08997	6
NCU03907	20
NCU03645	12
NCU06177	10
NCU09621	12
NCU06587	10
NCU01190	10
NCU03458	14
NCU03932	14
NCU04170	4
NCU07028	10
NCU09544	4
NCU04503	0
NCU00032	12
NCU04623	12
NCU06276	12
NCU06913	12
NCU10301	12
NCU02261	6
NCU05135	8
NCU07881	20
NCU08827	2
NCU09659	20
NCU00616	6
NCU03886	6
NCU04252	12
NCU05029	10
NCU00519	6
NCU04410	18
NCU00484	6
NCU05600	8
NCU06537	14
NCU08126	10
NCU08879	8
NCU11186	0
NCU00102	4
NCU05775	4
NCU00233	10
NCU06864	16
NCU01063	12
NCU10893	4
NCU03888	20
NCU03385	4
NCU04463	0
NCU08099	6
NCU16363	4
NCU06440	20
NCU04544	22
NCU00729	10
NCU05485	6
NCU02187	22
NCU07307	4
NCU10852	4
NCU08868	20
NCU08877	10
NCU04783	22
NCU05256	12
NCU05429	2
NCU06109	10
NCU06448	12
NCU03756	8
NCU06990	22
NCU02491	20
NCU02652	10
NCU03264	22
NCU07188	20
NCU01460	10
NCU04097	12
NCU03282	12
NCU01944	0
NCU03859	2
NCU04150	2
NCU07024	2
NCU09231	12
NCU09269	12
NCU02388	4
NCU06593	18
NCU02335	2
NCU02888	4
NCU04301	4
NCU06452	6
NCU07852	2
NCU05277	18
NCU01465	14
NCU06366	18
NCU01209	6
NCU06674	6
NCU04495	0
NCU08825	20
NCU16316	14
NCU04545	22
NCU09480	2
NCU11312	12
NCU03321	22
NCU09643	22
NCU01430	10
NCU01935	10
NCU03270	22
NCU04801	10
NCU06880	14
NCU09508	12
NCU01571	12
NCU09937	14
NCU02741	2
NCU07322	12
NCU08023	10
NCU17227	8
NCU05136	6
NCU07141	20
NCU07331	4
NCU08013	18
NCU08771	4
NCU09395	16
NCU09995	0
NCU05387	12
NCU12023	22
NCU08040	4
NCU00906	8
NCU04065	12
NCU02317	12
NCU08138	16
NCU03998	10
NCU05492	10
NCU06793	0
NCU06978	12
NCU05414	2
NCU07271	2
NCU04757	16
NCU09365	4
NCU16563	4
NCU05853	12
NCU08145	12
NCU07253	12
NCU09481	0
NCU01766	0
NCU02913	8
NCU04501	8
NCU06013	10
NCU06038	0
NCU16512	20
NCU02128	4
NCU00101	4
NCU08776	2
NCU01386	22
NCU03054	22
NCU05180	4
NCU05567	2
NCU09004	20
NCU04509	16
NCU16386	16
NCU00449	12
NCU07416	12
NCU05524	12
NCU09294	0
NCU11260	6
NCU02650	2
NCU03422	22
NCU07911	6
NCU08606	22
NCU05235	2
NCU01248	2
NCU10572	22
NCU05972	18
NCU06948	0
NCU02783	8
NCU06881	10
NCU17114	8
NCU00247	22
NCU03019	22
NCU10070	22
NCU16372	20
NCU06676	10
NCU02834	4
NCU04789	10
NCU05312	4
NCU06523	4
NCU09271	10
NCU02877	20
NCU07816	16
NCU08389	6
NCU09494	6
NCU11188	4
NCU04111	20
NCU03145	0
NCU03802	12
NCU03961	2
NCU04419	16
NCU08355	12
NCU08504	10
NCU06430	18
NCU06627	4
NCU08565	10
NCU07999	22
NCU09825	22
NCU03929	10
NCU00305	14
NCU00463	4
NCU01454	10
NCU06391	10
NCU03253	0
NCU04552	6
NCU05169	12
NCU01854	20
NCU01172	12
NCU01704	10
NCU04008	10
NCU04037	22
NCU06230	8
NCU06365	12
NCU06509	12
NCU07876	0
NCU08594	14
NCU04621	22
NCU00887	22
NCU01094	10
NCU06302	10
NCU09101	0
NCU10618	6
NCU01388	0
NCU04932	0
NCU00709	12
NCU06047	6
NCU08365	20
NCU02105	2
NCU02450	10
NCU01919	2
NCU05306	10
NCU02109	10
NCU07587	8
NCU08420	14
NCU08705	18
NCU05854	16
NCU04269	12
NCU04316	22
NCU01720	22
NCU03685	8
NCU00283	6
NCU02955	6
NCU04592	16
NCU08057	10
NCU09277	14
NCU01993	4
NCU10304	4
NCU02493	12
NCU08859	8
NCU01288	12
NCU03463	4
NCU05557	14
NCU03986	0
NCU04642	12
NCU05755	2
NCU05953	12
NCU04025	2
NCU03011	10
NCU09142	20
NCU00466	2
NCU00595	20
NCU05501	14
NCU07032	14
NCU07679	4
NCU06108	12
NCU07310	12
NCU04007	2
NCU07066	16
NCU08559	0
NCU00112	6
NCU01205	6
NCU09167	6
NCU02437	0
NCU05623	20
NCU00650	0
NCU01792	10
NCU04189	0
NCU05142	10
NCU07061	10
NCU08516	8
NCU09296	2
NCU11410	0
NCU16457	12
NCU04155	4
NCU00223	10
NCU02055	20
NCU06128	16
NCU07827	6
NCU05301	22
NCU01427	4
NCU04488	4
NCU01257	2
NCU02329	10
NCU02810	4
NCU03213	12
NCU06934	18
NCU07018	18
NCU03989	20
NCU05364	2
NCU07434	2
NCU07888	12
NCU09516	10
NCU00211	6
NCU01418	22
NCU00605	4
NCU02136	10
NCU04791	10
NCU09178	4
NCU09532	16
NCU12097	4
NCU16667	18
NCU07042	12
NCU01447	0
NCU02921	2
NCU03648	10
NCU03960	0
NCU06232	10
NCU07807	0
NCU07860	12
NCU08408	18
NCU05832	4
NCU06103	2
NCU01669	4
NCU03031	20
NCU05686	22
NCU06575	14
NCU04145	2
NCU04577	2
NCU08475	12
NCU01611	10
