Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
Average	CT7.2_RNA	0.6968990905137861	True	7.2	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT7.2_protein	1.438371146789078	False	7.2	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT7.2_protein	0.3843385246743412	False	7.2	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT7.2_protein	0.021852399266194308	False	7.2	protein	Pentose-Phosphate-Cycle
NCU06075.7	CT7.2_protein	1.3090169943749468	False	7.2	protein	Pentose-Phosphate-Cycle
NCU02252.7	CT7.2_protein	1.3090169943749468	False	7.2	protein	Pentose-Phosphate-Cycle
NCU07550.7	CT7.2_protein	1.3090169943749468	False	7.2	protein	Pentose-Phosphate-Cycle
NCU02193.7	CT7.2_protein	0.06030737921409157	False	7.2	protein	Pentose-Phosphate-Cycle
NCU07281.7	CT7.2_protein	1.3090169943749468	False	7.2	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT7.2_protein	0.06030737921409157	False	7.2	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT7.2_protein	0.3843385246743412	False	7.2	protein	Pentose-Phosphate-Cycle
Average	CT7.2_protein	0.7585583331331923	True	7.2	protein	Pentose-Phosphate-Cycle
NCU03254.7	CT9.3_RNA	1.8480480961564252	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT9.3_RNA	1.3090169943749468	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT9.3_RNA	1.3090169943749468	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT9.3_RNA	1.8480480961564252	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT9.3_RNA	0.06030737921409157	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT9.3_RNA	0.06030737921409157	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT9.3_RNA	1.3090169943749468	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT9.3_RNA	0.06030737921409157	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT9.3_RNA	0.06030737921409157	False	9.3	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT9.3_RNA	0.7580781044003317	False	9.3	RNA	Pentose-Phosphate-Cycle
Average	CT9.3_RNA	0.8622454796694387	True	9.3	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT9.3_protein	0.8954715367323476	False	9.3	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT9.3_protein	0.06030737921409157	False	9.3	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT9.3_protein	0.2806601996613487	False	9.3	protein	Pentose-Phosphate-Cycle
